"source";"target";"year_of_publication";"Erscheinungsort"
"02-0647";"02-0838";1558;"s.l."
"02-0774";"02-0845";1580;"s.l."
"02-0647";"02-0848";1558;"s.l."
"02-0833";"02-0851";1568;"s.l."
"02-0102";"02-0851";1568;"s.l."
"02-0716";"02-0852";1562;"s.l."
"02-0755";"02-0852";1562;"s.l."
"02-0722";"02-0852";1562;"s.l."
"02-0879";"02-0852";1562;"s.l."
"02-0793";"02-0857";1562;"s.l."
"02-0733";"02-0857";1562;"s.l."
"02-0741";"02-0862";1564;"s.l."
"02-0061";"02-0868";1558;"s.l."
"02-0817";"02-0876";1557;"s.l."
"02-0833";"02-0878";1568;"s.l."
"02-0102";"02-0878";1568;"s.l."
"02-0737";"02-0879";1570;"s.l."
"02-0067";"02-0879";1573;"s.l."
"02-0717";"02-0879";1574;"s.l."
"02-0833";"02-0899";1568;"s.l."
"02-0102";"02-0899";1568;"s.l."
"02-0845";"02-0905";1579;"s.l."
"02-0833";"02-0993";1568;"s.l."
"02-0102";"02-0993";1568;"s.l."
"02-0647";"02-1006";1558;"s.l."
"02-0800";"02-0653";1552;"Königsberg"
"02-0800";"02-0654";1552;"Königsberg"
"02-0800";"02-0676";1552;"Königsberg"
"02-0685";"02-0681";1567;"Königsberg"
"02-0789";"02-0681";1567;"Königsberg"
"02-0879";"02-0681";1574;"Königsberg"
"02-0741";"02-0699";1574;"Königsberg"
"02-0879";"02-0699";1574;"Königsberg"
"02-0800";"02-0716";1552;"Königsberg"
"02-0680";"02-0716";1575;"Königsberg"
"02-0741";"02-0716";1574;"Königsberg"
"02-0800";"02-0721";1552;"Königsberg"
"02-0800";"02-0722";1552;"Königsberg"
"02-0879";"02-0741";1578;"Königsberg"
"02-0879";"02-0741";1578;"Königsberg"
"02-0800";"02-0760";1552;"Königsberg"
"02-0879";"02-0766";1574;"Königsberg"
"02-0835";"02-0775";1575;"Königsberg"
"02-0680";"02-0775";1575;"Königsberg"
"02-0879";"02-0782";1574;"Königsberg"
"02-0800";"02-0782";1552;"Königsberg"
"02-0800";"02-0784";1552;"Königsberg"
"02-0872";"02-0789";1557;"Königsberg"
"02-0800";"02-0789";1552;"Königsberg"
