"m.id","n.id"
"02-0716","01-0596"
"02-0814","01-0597"
"02-0814","01-0598"
"02-0814","01-0599"
"02-0741","01-0600"
"02-0722","01-0601"
"02-0755","01-0602"
"02-0716","01-0602"
"02-0879","01-0602"
"02-0791","01-0602"
"02-0775","01-0603"
"02-0019","01-0604"
"02-0673","01-0605"
"02-0722","01-0608"
"02-0711","01-0609"
"02-0716","01-0610"
"02-0722","01-0610"
"02-0655","01-0612"
"02-0749","01-0613"
"02-0838","01-0614"
"02-0879","01-0615"
"02-0716","01-0615"
"02-0879","01-0616"
"02-0755","01-0616"
"02-0716","01-0617"
"02-0811","01-0618"
"02-1029","01-0619"
"02-0877","01-0620"
"02-0706","01-0622"
"02-1029","01-0623"
"02-0782","01-0624"
"02-0809","01-0624"
"02-0789","01-0625"
"02-0722","01-0626"
"02-0814","01-0627"
"02-0826","01-0628"
"02-0879","01-0629"
"02-0755","01-0629"
"02-0316","01-0630"
"02-0789","01-0631"
"02-0654","01-0632"
"02-0654","01-0633"
"02-0683","01-0634"
"02-0775","01-0635"
"02-0838","01-0636"
"02-0583","01-0637"
"02-0852","01-0637"
"02-0709","01-0638"
"02-0716","01-0639"
"02-0752","01-0640"
"02-0845","01-0642"
"02-0716","01-0643"
"02-0793","01-0644"
"02-0481","01-0645"
"02-0769","01-0646"
"02-0775","01-0647"
"02-0716","01-0648"
"02-0716","01-0649"
"02-0800","01-0650"
"02-0673","01-0650"
"02-0800","01-0651"
"02-0673","01-0652"
"02-0652","01-0653"
"02-0189","01-0654"
"02-0800","01-0656"
"02-0800","01-0657"
"02-0720","01-0659"
"02-0800","01-0660"
"02-0775","01-0661"
"02-0789","01-0662"
"02-0673","01-0663"
"02-0722","01-0664"
"02-0716","01-0665"
"02-0722","01-0665"
"02-1029","01-0667"
"02-0662","01-0668"
"02-0716","01-0669"
"02-0716","01-0671"
"02-0716","01-0672"
"02-0838","01-0673"
"02-0838","01-0674"
"02-0838","01-0675"
"02-0673","01-0676"
"02-0652","01-0678"
"02-1029","01-0679"
"02-0716","01-0680"
"02-0722","01-0681"
"02-0876","01-0682"
"02-0716","01-0683"
"02-0716","01-0684"
"02-0716","01-0685"
"02-0789","01-0686"
"02-0511","01-0687"
"02-0762","01-0688"
"02-0789","01-0689"
"02-0782","01-0690"
"02-0791","01-0690"
"02-0782","01-0691"
"02-0743","01-0692"
"02-0827","01-0693"
"02-0829","01-0693"
"02-0716","01-0694"
"02-0936","01-0694"
"02-0652","01-0695"
"02-0838","01-0696"
"02-0838","01-0697"
"02-0829","01-0698"
"02-0782","01-0699"
"02-0784","01-0700"
"02-0879","01-0701"
"02-0755","01-0702"
"02-0716","01-0703"
"02-0716","01-0704"
"02-0716","01-0705"
"02-0710","01-0706"
"02-0650","01-0707"
"02-0716","01-0708"
"02-0838","01-0709"
"02-0302","01-0710"
"02-0838","01-0711"
"02-0838","01-0712"
"02-0838","01-0713"
"02-0838","01-0714"
"02-0791","01-0715"
"02-0716","01-0717"
"02-1029","01-0718"
"02-0090","01-0719"
"02-0782","01-0720"
"02-0868","01-0721"
"02-0670","01-0722"
"02-0795","01-0723"
"02-0679","01-0723"
"02-0686","01-0724"
"02-0710","01-0725"
"02-0716","01-0726"
"02-0789","01-0726"
"02-0872","01-0727"
"02-0782","01-0728"
"02-0789","01-0729"
"02-0782","01-0730"
"02-0782","01-0731"
"02-0782","01-0732"
"02-0090","01-0733"
"02-0774","01-0734"
"02-0716","01-0735"
"02-0722","01-0735"
"02-0782","01-0736"
"02-0768","01-0737"
"02-0782","01-0738"
"02-0838","01-0739"
"02-0647","01-0740"
"02-0647","01-0741"
"02-0782","01-0742"
"02-0646","01-0743"
"02-0810","01-0745"
"02-0879","01-0746"
"02-0775","01-0747"
"02-0784","01-0748"
"02-0716","01-0749"
"02-0722","01-0750"
"02-0716","01-0751"
"02-0802","01-0752"
"02-0654","01-0752"
"02-0609","01-0753"
"02-0654","01-0754"
"02-0716","01-0754"
"02-0716","01-0755"
"02-0716","01-0760"
"02-0775","01-0761"
"02-0722","01-0762"
"02-0784","01-0763"
"02-0662","01-0764"
"02-0838","01-0765"
"02-0838","01-0766"
"02-0736","01-0767"
"02-0647","01-0769"
"02-0647","01-0770"
"02-0647","01-0771"
"02-0647","01-0772"
"02-1029","01-0773"
"02-0762","01-0775"
"02-0872","01-0776"
"02-0872","01-0777"
"02-0876","01-0778"
"02-0698","01-0780"
"02-0820","01-0781"
"02-0774","01-0782"
"02-0722","01-0783"
"02-0716","01-0784"
"02-0752","01-0785"
"02-0810","01-0786"
"02-0752","01-0787"
"02-0716","01-0788"
"02-0655","01-0789"
"02-0741","01-0790"
"02-0749","01-0791"
"02-0654","01-0792"
"02-0879","01-0793"
"02-0755","01-0793"
"02-0741","01-0794"
"02-0782","01-0795"
"02-0609","01-0796"
"02-0716","01-0798"
"02-0789","01-0799"
"02-0716","01-0800"
"02-0845","01-0801"
"02-0716","01-0802"
"02-0813","01-0803"
"02-0838","01-0805"
"02-0775","01-0806"
"02-0654","01-0807"
"02-0722","01-0808"
"02-0722","01-0809"
"02-0775","01-0810"
"02-0782","01-0811"
"02-0034","01-0812"
"02-0655","01-0813"
"02-0782","01-0814"
"02-0741","01-0815"
"02-0741","01-0818"
"02-1029","01-0819"
"02-0789","01-0821"
"02-1029","01-0821"
"02-0722","01-0822"
"02-0722","01-0824"
"02-0782","01-0824"
"02-0722","01-0825"
"02-0845","01-0826"
"02-0647","01-0827"
"02-0716","01-0829"
"02-0755","01-0829"
"02-0879","01-0829"
"02-0881","01-0830"
"02-0845","01-0831"
"02-0673","01-0832"
"02-0782","01-0833"
"02-0655","01-0834"
"02-0831","01-0835"
"02-0879","01-0837"
"02-0785","01-0838"
"02-0741","01-0839"
"02-0726","01-0840"
"02-0793","01-0841"
"02-0716","01-0843"
"02-0716","01-0844"
"02-0920","01-0845"
"02-0315","01-0845"
"02-0716","01-0846"
"02-0838","01-0847"
"02-0838","01-0848"
"02-0782","01-0849"
"02-0838","01-0849"
"02-0302","01-0850"
"02-0789","01-0853"
"02-0652","01-0853"
"02-0685","01-0853"
"02-0646","01-0854"
"02-0052","01-0856"
"02-0845","01-0857"
"02-0667","01-0859"
"02-0800","01-0860"
"02-0800","01-0861"
"02-0659","01-0862"
"02-0580","01-0863"
"02-0915","01-0863"
"02-0916","01-0863"
"02-0782","01-0864"
"02-0716","01-0865"
"02-0775","01-0866"
"02-0782","01-0867"
"02-0800","01-0868"
"02-0722","01-0869"
"02-0716","01-0869"
"02-0876","01-0870"
"02-0876","01-0871"
"02-0817","01-0872"
"02-0876","01-0873"
"02-0646","01-0875"
"02-0879","01-0875"
"02-0716","01-0876"
"02-0800","01-0877"
"02-0681","01-0878"
"02-0716","01-0880"
"02-0876","01-0881"
"02-0716","01-0882"
"02-0876","01-0883"
"02-0716","01-0884"
"02-0716","01-0885"
"02-1029","01-0887"
"02-0580","01-0887"
"02-0716","01-0888"
"02-0681","01-0890"
"02-0876","01-0891"
"02-0716","01-0894"
"02-0653","01-0895"
"02-0879","01-0896"
"02-0716","01-0897"
"02-0820","01-0898"
"02-0820","01-0899"
"02-0782","01-0900"
"02-0789","01-0901"
"02-0789","01-0902"
"02-0685","01-0902"
"02-0835","01-0903"
"02-0735","01-0903"
"02-0673","01-0903"
"02-0663","01-0903"
"02-0238","01-0903"
"02-0673","01-0904"
"02-0663","01-0904"
"02-0238","01-0904"
"02-0735","01-0904"
"02-0782","01-0905"
"02-0755","01-0908"
"02-0879","01-0908"
"02-0722","01-0909"
"02-0866","01-0910"
"02-0886","01-0911"
"02-0791","01-0912"
"02-0844","01-0920"
"02-0346","01-0921"
"02-0732","01-0923"
"02-0782","01-0924"
"02-0848","01-0925"
"02-0800","01-0926"
"02-0716","01-0927"
"02-0646","01-0927"
"02-0876","01-0928"
"02-0716","01-0929"
"02-1029","01-0930"
"02-0782","01-0931"
"02-0646","01-0933"
"02-0849","01-0934"
"02-0876","01-0935"
"02-0741","01-0936"
"02-0741","01-0937"
"02-0741","01-0938"
"02-0673","01-0939"
"02-0722","01-0941"
"02-0716","01-0941"
"02-0765","01-0942"
"02-0782","01-0944"
"02-0650","01-0946"
"02-0660","01-0947"
"02-0377","01-0948"
"02-0729","01-0949"
"02-0764","01-0951"
"02-0716","01-0954"
"02-0130","01-0955"
"02-0876","01-0956"
"02-0716","01-0957"
"02-0810","01-0958"
"02-0750","01-0959"
"02-0716","01-0961"
"02-0637","01-0962"
"02-0716","01-0963"
"02-0716","01-0964"
"02-0876","01-0965"
"02-0716","01-0966"
"02-0800","01-0967"
"02-0789","01-0968"
"02-0716","01-0969"
"02-0348","01-0970"
"02-0722","01-0971"
"02-0716","01-0972"
"02-0722","01-0972"
"02-0775","01-0973"
"02-0697","01-0974"
"02-0654","01-0975"
"02-0775","01-0976"
"02-0782","01-0977"
"02-1029","01-0979"
"02-0690","01-0981"
"02-0673","01-0983"
"02-0716","01-0984"
"02-1029","01-0985"
"02-0775","01-0986"
"02-0716","01-0988"
"02-0722","01-0988"
"02-0654","01-0989"
"02-0716","01-0990"
"02-0716","01-0991"
"02-0722","01-0992"
"02-0749","01-0994"
"02-0749","01-0995"
"02-1029","01-0997"
"02-0716","01-0997"
"02-0838","01-1999"
"02-0838","01-2000"
"02-0838","01-2001"
"02-0838","01-2002"
"02-0838","01-2003"
"02-0838","01-2004"
"02-0763","01-2005"
"02-0673","01-2006"
"02-1029","01-2006"
"02-0673","01-2007"
"02-1029","01-2007"
"02-0654","01-0999"
"02-0741","01-1000"
"02-0802","01-1001"
"02-0716","01-1002"
"02-0876","01-1003"
"02-0716","01-1004"
"02-0876","01-1005"
"02-0716","01-1006"
"02-0716","01-1007"
"02-0716","01-1008"
"02-0782","01-1009"
"02-0876","01-1010"
"02-0716","01-1011"
"02-0716","01-1012"
"02-0716","01-1013"
"02-1029","01-1014"
"02-0782","01-1015"
"02-0827","01-1016"
"02-0324","01-1017"
"02-0782","01-1018"
"02-0775","01-1019"
"02-0800","01-1020"
"02-0789","01-1021"
"02-0800","01-1021"
"02-0716","01-1022"
"02-1029","01-1023"
"02-0782","01-1024"
"02-0716","01-1025"
"02-0676","01-1026"
"02-0775","01-1027"
"02-0876","01-1028"
"02-0646","01-1029"
"02-1029","01-1030"
"02-0876","01-1031"
"02-0810","01-1032"
"02-0782","01-1033"
"02-0782","01-1034"
"02-0775","01-1035"
"02-0653","01-1036"
"02-0782","01-1037"
"02-0775","01-1038"
"02-0709","01-1039"
"02-0681","01-1040"
"02-0876","01-1041"
"02-0782","01-1042"
"02-0782","01-1043"
"02-0782","01-1044"
"02-0782","01-1045"
"02-0848","01-1045"
"02-0681","01-1046"
"02-0716","01-1047"
"02-0820","01-1047"
"02-0851","01-1048"
"02-0789","01-1048"
"02-0879","01-1049"
"02-0838","01-1050"
"02-0674","01-1051"
"02-0820","01-1052"
"02-0683","01-1053"
"02-0879","01-1054"
"02-0702","01-1055"
"02-0655","01-1056"
"02-0655","01-1057"
"02-0716","01-1058"
"02-0666","01-1059"
"02-0716","01-1060"
"02-0851","01-1061"
"02-0654","01-1062"
"02-0654","01-1063"
"02-0827","01-1064"
"02-0716","01-1066"
"02-0716","01-1067"
"02-0728","01-1068"
"02-0769","01-1069"
"02-1029","01-1070"
"02-0879","01-1071"
"02-0876","01-1072"
"02-0722","01-1073"
"02-0741","01-1074"
"02-0847","01-1076"
"02-0847","01-1077"
"02-0924","01-1078"
"02-0706","01-1078"
"02-0676","01-1078"
"02-0716","01-1079"
"02-0812","01-1080"
"02-0775","01-1081"
"02-0848","01-1083"
"02-0775","01-1084"
